,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
18,"March 15, 2019 - March 18, 2019",Theodore E. Deutch,Ted Deutch,D,FL-22,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
19,"March 15, 2019 - March 18, 2019",Brendan F. Boyle,Brendan Boyle,D,PA-2,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
20,"March 15, 2019 - March 18, 2019",Billy Long,Billy Long,R,MO-7,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
21,"March 18, 2019 - March 18, 2019",Diana Rios,Jimmy Gomez,D,CA-34,"Trenton, NJ",Casey Family Programs,Original
22,"March 18, 2019 - March 18, 2019",Kimberley Meinert,Richard E. Neal,D,MA-1,"Trenton, NJ",Casey Family Programs,Original
23,"March 18, 2019 - March 18, 2019",Julia Anne Prus,Brad Wenstrup,R,OH-2,"Trenton, NJ",Casey Family Programs,Original
24,"March 18, 2019 - March 18, 2019",Wendell Primus,Nancy Pelosi,D,CA-12,"Trenton, NJ",Casey Family Programs,Original
25,"March 15, 2019 - March 18, 2019",Peter Welch,Peter Welch,D,VT-1,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
26,"March 15, 2019 - March 18, 2019",Salud O. Carbajal,Salud Carbajal,D,CA-24,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
27,"March 15, 2019 - March 18, 2019",Mark DeSaulnier,Mark DeSaulnier,D,CA-11,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
28,"March 18, 2019 - March 18, 2019",Samantha Dybas,Darin M. LaHood,R,IL-18,"Trenton, NJ",Casey Family Programs,Original
29,"March 18, 2019 - March 18, 2019",Jake Middlebrooks,Virginia Foxx,R,NC-5,"Trenton, NJ",Casey Family Programs,Original
30,"March 18, 2019 - March 18, 2019",Jayme Holliday,Dwight Evans,D,PA-3,"Trenton, NJ",Casey Family Programs,Original
31,"March 15, 2019 - March 18, 2019",Tom Rice,Tom Rice,R,SC-7,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Amendment
32,"March 15, 2019 - March 18, 2019",Kathleen M. Rice,Kathleen Rice,D,NY-4,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Amendment
33,"March 15, 2019 - March 17, 2019",Dina Titus,Dina Titus,D,NV-1,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
34,"March 15, 2019 - March 17, 2019",Judy Chu,Judy Chu,D,CA-27,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
35,"March 15, 2019 - March 17, 2019",Alan S. Lowenthal,Alan Lowenthal,D,CA-47,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
36,"March 14, 2019 - March 17, 2019",G.K. Butterfield,G. K. Butterfield,D,NC-1,"Atlanta, GA",Congressional Black Caucus Institute,Original
37,"March 14, 2019 - March 17, 2019",Dwight Evans,Dwight Evans,D,PA-3,"Atlanta, GA",Congressional Black Caucus Institute,Original
38,"March 15, 2019 - March 16, 2019",Salud Carbajal,Salud Carbajal,D,CA-24,"San Diego, CA",Aspen Institute,Amendment
39,"March 8, 2019 - March 11, 2019",Mike Gallagher,Mike Gallagher,R,WI-8,"Sea Island, GA",American Enterprise Institute,Original
40,"March 8, 2019 - March 10, 2019",Josh Gottheimer,Josh Gottheimer,D,NJ-5,"Sea Island, GA",American Enterprise Insititute,Original
41,"March 8, 2019 - March 10, 2019",Thomas R. Suozzi,Thomas Suozzi,D,NY-3,"Sea Island, GA",American Enterprise Institute,Original
42,"March 8, 2019 - March 10, 2019",James A. Himes,Jim Himes,D,CT-4,"Sea Island, GA",American Enterprise Institute,Original
43,"March 8, 2019 - March 10, 2019",Elise M. Stefanik,Elise Stefanik,R,NY-21,"Sea Island, GA",American Enterprise Institute,Original
44,"March 7, 2019 - March 10, 2019",Jimmy Panetta,Jimmy Panetta,D,CA-20,"Sea Island, GA",American Enterprise Institute,Original
45,"March 8, 2019 - March 10, 2019",Fred Upton,Fred Upton,R,MI-6,"Sea Island, GA",American Enterprise Institute,Original
46,"March 8, 2019 - March 10, 2019",Dan Crenshaw,Dan Crenshaw,R,TX-2,"Sea Island, GA",American Enterprise Institute,Original
47,"March 8, 2019 - March 10, 2019",Mike Gallagher,Mike Gallagher,R,WI-8,"Sea Island, GA",American Enterprise Institute,Amendment
48,"March 10, 2019 - March 10, 2019",Maxine Waters,Maxine Waters,D,CA-43,"New York, NY",Abyssinian Baptist Church,Original
49,"March 8, 2019 - March 9, 2019",Ralph Norman,Ralph Norman,R,SC-5,"Asheville, NC",South Carolina Bankers Association,Original
0,"March 8, 2019 - March 9, 2019",Will Hurd,Will Hurd,R,TX-23,"Sea Island, GA",American Enterprise Institute,Original
1,"March 2, 2019 - March 8, 2019",Alice Johnson,Austin Scott,R,GA-8,"Busan, South Korea",U.S. Association of Former Members of Congress,Original
2,"March 2, 2019 - March 8, 2019",Alice Johnson,Austin Scott,R,GA-8,"Seoul, South Korea",U.S. Association of Former Members of Congress,Original
3,"March 2, 2019 - March 8, 2019",Timothy Butler,Mike Kelly,R,PA-16,"Busan, South Korea",U.S. Association of Former Members of Congress,Original
4,"March 2, 2019 - March 8, 2019",Timothy Butler,Mike Kelly,R,PA-16,"Seoul, South Korea",U.S. Association of Former Members of Congress,Original
5,"March 2, 2019 - March 8, 2019",Matthew Ceccato,Ami Bera,D,CA-7,"Busan, South Korea",U.S. Association of Former Members of Congress,Original
6,"March 2, 2019 - March 8, 2019",Matthew Ceccato,Ami Bera,D,CA-7,"Seoul, South Korea",U.S. Association of Former Members of Congress,Original
7,"March 2, 2019 - March 8, 2019",Jason Ross,John Ratcliffe,R,TX-4,"Busan, South Korea",U.S. Association of Former Members of Congress,Original
8,"March 2, 2019 - March 8, 2019",Jason Ross,John Ratcliffe,R,TX-4,"Seoul, South Korea",U.S. Association of Former Members of Congress,Original
9,"Feb. 28, 2019 - March 3, 2019",Stephanie N. Murphy,Stephanie Murphy,D,FL-7,"Calumet, MI",Bipartisan Policy Center,Original
10,"Feb. 28, 2019 - March 3, 2019",Stephanie N. Murphy,Stephanie Murphy,D,FL-7,"Marquette, MI",Bipartisan Policy Center,Original
11,"Feb. 28, 2019 - March 3, 2019",Kathleen Heffernan,John Rutherford,R,FL-4,"New York, NY",United Nations Foundation,Original
12,"Feb. 28, 2019 - March 2, 2019",Izmira Aitch,Gwen Moore,D,WI-4,"New York, NY",United Nations Foundation,Original
13,"Feb. 28, 2019 - March 1, 2019",Ari Kirsh,John Shimkus,R,IL-15,"New York, NY",United Nations Foundation,Original
14,"Feb. 28, 2019 - March 1, 2019",Ryan Carney,Bryan Steil,R,WI-1,"New York, NY",United Nations Foundation,Original
15,"Feb. 28, 2019 - March 1, 2019",Elizabeth Dudley,Steve Cohen,D,TN-9,"New York, NY",United Nations Foundation,Original
16,"Feb. 28, 2019 - March 1, 2019",Ryan Thompson,Ron Wright,R,TX-6,"New York, NY",United Nations Foundation,Original
17,"Feb. 28, 2019 - March 1, 2019",Scott Rausch,Alex Mooney,R,WV-2,"New York, NY",United Nations Foundation,Original
18,"Feb. 28, 2019 - March 1, 2019",Jonathan Martinez,Nydia M. Velázquez,D,NY-7,"New York, NY",United Nations Foundation,Original
19,"Feb. 28, 2019 - March 1, 2019",Michael Grider,Tim Burchett,R,TN-2,"New York, NY",United Nations Foundation,Original
20,"Feb. 28, 2019 - March 1, 2019",Zachary Dooley,Tim Burchett,R,TN-2,"New York, NY",United Nations Foundation,Original
21,"Feb. 28, 2019 - March 1, 2019",Michelle Dorothy,Chrissy Houlahan,D,PA-6,"New York, NY",United Nations Foundation,Original
22,"Feb. 28, 2019 - March 1, 2019",Jose Fuentes,Ken Calvert,R,CA-42,"New York, NY",United Nations Foundation,Original
23,"Feb. 28, 2019 - March 1, 2019",John Partin,William Timmons,R,SC-4,"New York, NY",United Nations Foundation,Original
24,"Feb. 28, 2019 - March 1, 2019",Thomas Carnes,Alcee L. Hastings,D,FL-20,"New York, NY",United Nations Foundation,Original
25,"Feb. 28, 2019 - March 1, 2019",Bo Morris,Joe Neguse,D,CO-2,"New York, NY",United Nations Foundation,Original
26,"Feb. 28, 2019 - March 1, 2019",Erin Meegan,Max Rose,D,NY-11,"New York, NY",United Nations Foundation,Original
27,"Feb. 28, 2019 - March 1, 2019",Kathleen Heffernan,John Rutherford,R,FL-4,"New York, NY",United Nations Foundation,Amendment
28,"Feb. 28, 2019 - March 1, 2019",Eddie Meyer,Juan Vargas,D,CA-51,"New York, NY",United Nations Foundation,Original
29,"Feb. 18, 2019 - Feb. 25, 2019",Doug Lamborn,Doug Lamborn,R,CO-5,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
30,"Feb. 18, 2019 - Feb. 25, 2019",Doug Lamborn,Doug Lamborn,R,CO-5,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
31,"Feb. 18, 2019 - Feb. 24, 2019",Sean Patrick Maloney,Sean Patrick Maloney,D,NY-18,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
32,"Feb. 19, 2019 - Feb. 24, 2019",Scott R. Tipton,Scott Tipton,R,CO-3,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
33,"Feb. 19, 2019 - Feb. 24, 2019",Scott R. Tipton,Scott Tipton,R,CO-3,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
34,"Feb. 18, 2019 - Feb. 24, 2019",David B. McKinley,David McKinley,R,WV-1,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
35,"Feb. 18, 2019 - Feb. 24, 2019",David B. McKinley,David McKinley,R,WV-1,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
36,"Feb. 20, 2019 - Feb. 24, 2019",Sarah Hodgkins,Mario Diaz-Balart,R,FL-25,"Clewiston, FL","South Florida Agricultural Foundation, Inc.",Original
37,"Feb. 20, 2019 - Feb. 24, 2019",Sarah Hodgkins,Mario Diaz-Balart,R,FL-25,"West Palm Beach, FL","South Florida Agricultural Foundation, Inc.",Original
38,"Feb. 16, 2019 - Feb. 24, 2019",Andy Barr,Andy Barr,R,KY-6,"Jerusalem, Israel",Proclaiming Justice to the Nations,Original
39,"Feb. 21, 2019 - Feb. 24, 2019",Ralph Norman,Ralph Norman,R,SC-5,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
40,"Feb. 20, 2019 - Feb. 24, 2019",Carley Esser,Vicky Hartzler,R,MO-4,"Clewiston, FL","South Florida Agricultural Foundation, Inc.",Original
41,"Feb. 20, 2019 - Feb. 24, 2019",Carley Esser,Vicky Hartzler,R,MO-4,"West Palm Beach, FL","South Florida Agricultural Foundation, Inc.",Original
42,"Feb. 19, 2019 - Feb. 24, 2019",Anthony G. Brown,Anthony Brown,D,MD-4,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
43,"Feb. 19, 2019 - Feb. 24, 2019",Anthony G. Brown,Anthony Brown,D,MD-4,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
44,"Feb. 16, 2019 - Feb. 24, 2019",Andy Harris,Andy Harris,R,MD-1,"Jerusalem, Israel",Proclaiming Justice to the Nations,Original
45,"Feb. 18, 2019 - Feb. 24, 2019",John Rutherford,John Rutherford,R,FL-4,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Amendment
46,"Feb. 18, 2019 - Feb. 24, 2019",John Rutherford,John Rutherford,R,FL-4,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Amendment
47,"Feb. 18, 2019 - Feb. 24, 2019",Sean Patrick Maloney,Sean Patrick Maloney,D,NY-18,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Amendment
48,"Feb. 18, 2019 - Feb. 24, 2019",Sean Patrick Maloney,Sean Patrick Maloney,D,NY-18,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Amendment
49,"Feb. 16, 2019 - Feb. 24, 2019",Diana DeGette,Diana DeGette,D,CO-1,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
0,"Feb. 16, 2019 - Feb. 24, 2019",Diana DeGette,Diana DeGette,D,CO-1,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
1,"Feb. 18, 2019 - Feb. 24, 2019",Alma S. Adams,Alma Adams,D,NC-12,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
2,"Feb. 18, 2019 - Feb. 24, 2019",Alma S. Adams,Alma Adams,D,NC-12,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
3,"Feb. 22, 2019 - Feb. 24, 2019",W. Gregory Steube,Greg Steube,R,FL-17,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
4,"Feb. 21, 2019 - Feb. 24, 2019",Ted Budd,Ted Budd,R,NC-13,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
5,"Feb. 16, 2019 - Feb. 24, 2019",Jimmy Gomez,Jimmy Gomez,D,CA-34,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
6,"Feb. 16, 2019 - Feb. 24, 2019",Jimmy Gomez,Jimmy Gomez,D,CA-34,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
7,"Feb. 21, 2019 - Feb. 24, 2019",Paul A. Gosar,Paul Gosar,R,AZ-4,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
8,"Feb. 22, 2019 - Feb. 24, 2019",Brenda L. Lawrence,Brenda Lawrence,D,MI-14,"Miami Beach, FL",United States Conference of Mayors,Original
9,"Feb. 16, 2019 - Feb. 24, 2019",Alexander X. Mooney,Alex Mooney,R,WV-2,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Amendment
10,"Feb. 16, 2019 - Feb. 24, 2019",Alexander X. Mooney,Alex Mooney,R,WV-2,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Amendment
11,"Feb. 21, 2019 - Feb. 24, 2019",Ralph Norman,Ralph Norman,R,SC-5,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Amendment
12,"Feb. 20, 2019 - Feb. 24, 2019",Justin Oswald,Grace Meng,D,NY-6,"Universal City, CA","Motion Picture Association of America; NBCUniversal Media, LLC.",Original
13,"Feb. 21, 2019 - Feb. 24, 2019",Chip Roy,Chip Roy,R,TX-21,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
14,"Feb. 18, 2019 - Feb. 24, 2019",John H. Rutherford,John Rutherford,R,FL-4,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
15,"Feb. 18, 2019 - Feb. 24, 2019",John H. Rutherford,John Rutherford,R,FL-4,"Dresden, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
16,"Feb. 18, 2019 - Feb. 24, 2019",Sean Patrick Maloney,Sean Patrick Maloney,D,NY-18,"Berlin, Germany",German Marshall Fund of the United States; Robert Bosch Stiftung,Original
17,"Feb. 16, 2019 - Feb. 23, 2019",Kenny Marchant,Kenny Marchant,R,TX-24,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
18,"Feb. 16, 2019 - Feb. 23, 2019",Kenny Marchant,Kenny Marchant,R,TX-24,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
19,"Feb. 16, 2019 - Feb. 23, 2019",Billy Long,Billy Long,R,MO-7,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
20,"Feb. 16, 2019 - Feb. 23, 2019",Billy Long,Billy Long,R,MO-7,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
21,"Feb. 16, 2019 - Feb. 23, 2019",James Johnson,Frank Pallone,D,NJ-6,"Yerevan, Armenia",National Democratic Institute,Original
22,"Feb. 16, 2019 - Feb. 23, 2019",Erica Riordan,Dina Titus,D,NV-1,"Yerevan, Armenia",National Democratic Institute,Original
23,"Feb. 21, 2019 - Feb. 23, 2019",John Ratcliffe,John Ratcliffe,R,TX-4,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
24,"Feb. 21, 2019 - Feb. 23, 2019",Ken Buck,Ken Buck,R,CO-4,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
25,"Feb. 16, 2019 - Feb. 23, 2019",Alexander X. Mooney,Alex Mooney,R,WV-2,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
26,"Feb. 16, 2019 - Feb. 23, 2019",Alexander X. Mooney,Alex Mooney,R,WV-2,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
27,"Feb. 16, 2019 - Feb. 23, 2019",Jenniffer Gonzalez-Colon,Jenniffer González-Colón,R,PR,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
28,"Feb. 16, 2019 - Feb. 23, 2019",Jenniffer Gonzalez-Colon,Jenniffer González-Colón,R,PR,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
29,"Feb. 20, 2019 - Feb. 23, 2019",Mark Meadows,Mark Meadows,R,NC-11,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
30,"Feb. 16, 2019 - Feb. 23, 2019","Earl L. ""Buddy"" Carter",Buddy Carter,R,GA-1,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
31,"Feb. 16, 2019 - Feb. 23, 2019","Earl L. ""Buddy"" Carter",Buddy Carter,R,GA-1,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
32,"Feb. 21, 2019 - Feb. 23, 2019",Mark E. Green,Mark Green,R,TN-7,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
33,"Feb. 20, 2019 - Feb. 23, 2019",Travis Martinez,Dan Newhouse,R,WA-4,"Tigard, OR",Farm Foundation,Original
34,"Feb. 16, 2019 - Feb. 23, 2019",Katherine Morley,Steve Womack,R,AR-3,"Yerevan, Armenia",National Democratic Institute,Original
35,"Feb. 16, 2019 - Feb. 23, 2019",David Loebsack,Dave Loebsack,D,IA-2,"Sendai, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
36,"Feb. 16, 2019 - Feb. 23, 2019",David Loebsack,Dave Loebsack,D,IA-2,"Tokyo, Japan",U.S. Association of Former Members of Congress; Sasakawa Peace Foundation USA,Original
37,"Feb. 20, 2019 - Feb. 23, 2019",Mark Meadows,Mark Meadows,R,NC-11,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Amendment
38,"Feb. 21, 2019 - Feb. 22, 2019",Heather Painter,Conor Lamb,D,PA-17,"Memphis, TN",Jobs For the Future; Lumina Foundation; Joyce Foundation,Original
39,"Feb. 21, 2019 - Feb. 22, 2019",Kelsey Fetzer,Jack Bergman,R,MI-1,"Memphis, TN",Jobs For the Future; Joyce Foundation; Lumina Foundation,Original
40,"Feb. 21, 2019 - Feb. 22, 2019",Heather Painter,Conor Lamb,D,PA-17,"Memphis, TN",Jobs For the Future; Joyce Foundation; Lumina Foundation,Original
41,"Feb. 20, 2019 - Feb. 22, 2019",Jason Cooke,David Rouzer,R,NC-7,"Portland, OR",Farm Foundation,Original
42,"Feb. 20, 2019 - Feb. 22, 2019",Miriam Strobel,Susan Brooks,R,IN-5,"Universal City, CA","Motion Picture Association of America; NBCUniversal Media, LLC.",Original
43,"Feb. 20, 2019 - Feb. 22, 2019",Timothy Kurth,Greg Walden,R,OR-2,"Universal City, CA","Motion Picture Association of America; NBCUniversal Media, LLC.",Original
44,"Feb. 20, 2019 - Feb. 22, 2019",Devin Murphy,Matt Gaetz,R,FL-1,"Universal City, CA","Motion Picture Association of America; NBCUniversal Media, LLC.",Original
45,"Feb. 21, 2019 - Feb. 22, 2019",Jason Kanter,Richard E. Neal,D,MA-1,"Memphis, TN",Jobs For the Future; Joyce Foundation; Lumina Foundation,Original
46,"Feb. 22, 2019 - Feb. 22, 2019",Jody Hice,Jody Hice,R,GA-10,"Palm Beach, FL",Club for Growth; Club for Growth Foundation,Original
47,"Feb. 20, 2019 - Feb. 22, 2019",John Weber,Dusty Johnson,R,SD-1,"Clewiston, FL","South Florida Agricultural Foundation, Inc.",Original
48,"Feb. 20, 2019 - Feb. 22, 2019",John Weber,Dusty Johnson,R,SD-1,"West Palm Beach, FL","South Florida Agricultural Foundation, Inc.",Original
